"","region","Number_of_attacks"
"1","Alaska",27
"2","Alberta",17
"3","Arizona",1
"4","British Columbia",17
"5","Colorado",3
"6","Manitoba",3
"7","Michigan",1
"8","Minnesota",1
"9","Montana",17
"10","New Jersey",1
"11","New Mexico",1
"12","New York",1
"13","Northwest Territories",4
"14","Nunavut",2
"15","Ontario",8
"16","Pennsylvania",1
"17","Quebec",5
"18","Saskatchewan",2
"19","Tennessee",2
"20","Utah",1
"21","Vermont",1
"22","Washington",1
"23","West Virginia",2
"24","Wyoming",10
"25","Yellowstone National Park",1
"26","Yukon",5
